Compiling model...
'compile' took 1.140150 s

Training model...

Step      Train loss                        Test loss                         Test metric
19989     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
19990     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
19991     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
19992     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
19993     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
19994     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
19995     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
19996     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
19997     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
19998     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
19999     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20000     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20001     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20002     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20003     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20004     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20005     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20006     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20007     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20008     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
